"Date","AAPL","MSFT","AXP","CAT","SBUX"
2000-01-03,0.837724208831787,35.4436111450195,32.1503143310547,12.5208606719971,2.27363038063049
2000-01-04,0.767095625400543,34.2463150024414,30.9363594055176,12.3599214553833,2.20158910751343
2000-01-05,0.778320729732513,34.6073989868164,30.1506099700928,12.6496067047119,2.23040533065796
2000-01-06,0.710966050624847,33.4481239318848,30.7648983001709,13.2933549880981,2.31109213829041
2000-01-07,0.744643807411194,33.8852310180664,31.2127857208252,13.7278709411621,2.29956650733948
2000-01-10,0.731546998023987,34.1322937011719,31.647891998291,13.2772579193115,2.39754128456116
2000-01-11,0.694128036499023,33.2580757141113,31.9422569274902,13.0680408477783,2.32838249206543
2000-01-12,0.652499079704285,32.1748085021973,31.7758731842041,13.2933549880981,2.33414554595947
2000-01-13,0.724062979221344,32.782958984375,31.9422569274902,13.4381980895996,2.50128102302551
2000-01-14,0.751659572124481,34.1322937011719,32.6588897705078,13.3738222122192,2.43788528442383
2000-01-18,0.777852892875671,35.0635147094727,31.0336322784424,12.9397974014282,2.40330600738525
2000-01-19,0.79749858379364,32.5359115600586,30.4961318969727,12.7778482437134,2.35143494606018
2000-01-20,0.849417984485626,32.2318344116211,31.0016326904297,12.2110233306885,2.31109213829041
2000-01-21,0.833047389984131,31.547664642334,31.0592098236084,12.2758007049561,2.30244755744934
2000-01-24,0.795159816741943,30.787467956543,31.123218536377,11.7413663864136,2.26498651504517
2000-01-25,0.84006267786026,31.2625865936279,32.4285507202148,11.304102897644,2.39754128456116
2000-01-26,0.824627339839935,30.217342376709,32.7100868225098,11.6442003250122,2.67418169975281
2000-01-27,0.823224544525146,30.0272884368896,33.3627395629883,11.5470285415649,2.66265368461609
2000-01-28,0.760546982288361,29.8752479553223,32.4029502868652,11.2717113494873,2.74910449981689
2000-01-31,0.776449739933014,29.7612380981445,33.7338790893555,10.9963941574097,2.95082068443298
2000-02-01,0.750256478786469,31.3005924224854,34.6040992736816,11.1907424926758,2.97963738441467
2000-02-02,0.7394979596138,30.6544418334961,33.6186943054199,11.2555179595947,2.93353223800659
2000-02-03,0.773175716400146,31.5096454620361,33.3499717712402,10.9640064239502,2.89895224571228
2000-02-04,0.80825674533844,32.4028816223145,33.0556106567383,10.9640064239502,3.16982769966125
2000-02-07,0.85362720489502,32.4218635559082,33.2603492736816,10.6886949539185,3.15830111503601
2000-02-08,0.859708368778229,33.4291229248047,33.3755569458008,10.6239128112793,3.2274603843689
2000-02-09,0.842869162559509,31.6236782073975,32.0574073791504,10.1380624771118,3.18135380744934
2000-02-10,0.849417984485626,32.2318344116211,31.6351146697998,9.86274528503418,2.95082068443298
2000-02-11,0.813869178295135,30.3883743286133,31.4303321838379,9.3283109664917,3.03150725364685
2000-02-14,0.866723895072937,30.2933616638184,31.5327301025391,10.0085077285767,3.12948417663574
