"Date","SP500","NASDAQ","DowJones","FTSE100","DAX","CAC40","Nikkei225","HangSeng","SSEComposite","KOSPI","Sensex"
2000-01-03,1455.21997070312,4131.14990234375,11357.509765625,NA,6750.759765625,5917.3701171875,NA,17369.630859375,NA,NA,5375.10986328125
2000-01-04,1399.42004394531,3901.68994140625,10997.9296875,6665.89990234375,6586.9501953125,5672.02001953125,19002.859375,17072.8203125,1406.37097167969,1059.0400390625,5491.009765625
2000-01-05,1402.10998535156,3877.5400390625,11122.650390625,6535.89990234375,6502.06982421875,5479.7001953125,18542.55078125,15846.7197265625,1409.68200683594,986.309997558594,5357
2000-01-06,1403.44995117188,3727.1298828125,11253.259765625,6447.2001953125,6474.919921875,5450.10986328125,18168.26953125,15153.23046875,1463.94201660156,960.789978027344,5421.52978515625
2000-01-07,1441.46997070312,3882.6201171875,11522.5595703125,6504.7998046875,6780.9599609375,5539.60986328125,18193.41015625,15405.6298828125,1516.60400390625,948.650024414062,5414.47998046875
2000-01-10,1457.59997558594,4049.669921875,11572.2001953125,6607.7001953125,6925.52001953125,5646.1201171875,NA,15848.150390625,1545.11206054688,987.239990234375,5518.39013671875
2000-01-11,1438.56005859375,3921.18994140625,11511.080078125,6518.89990234375,6891.25,5613.89990234375,18850.919921875,15862.099609375,1479.78100585938,981.330017089844,5296.2998046875
2000-01-12,1432.25,3850.02001953125,11551.099609375,6532.7998046875,6912.81005859375,5582.5,18677.419921875,15714.2001953125,1438.02001953125,955.010009765625,5491.2001953125
2000-01-13,1449.68005371094,3957.2099609375,11582.4296875,6531.5,6955.97998046875,5633.240234375,18833.2890625,15633.9599609375,1424.44201660156,951.049987792969,5444.81982421875
2000-01-14,1465.15002441406,4064.27001953125,11722.98046875,6658.2001953125,7173.22021484375,5787.43994140625,18956.55078125,15542.23046875,1408.84802246094,948.030029296875,5471.27001953125
2000-01-17,NA,NA,NA,6669.5,7258.89990234375,5842.77978515625,19437.23046875,15574.5595703125,1433.32995605469,983.27001953125,5404.06982421875
2000-01-18,1455.14001464844,4130.81005859375,11560.7197265625,6504.60009765625,7072.1201171875,5672.9501953125,19196.5703125,15789.2001953125,1426.623046875,981.530029296875,5464.509765625
2000-01-19,1455.90002441406,4151.2900390625,11489.3603515625,6445.5,7091.0400390625,5649.4599609375,18897.75,15275.33984375,1440.72399902344,938.780029296875,5478.240234375
2000-01-20,1445.56994628906,4189.509765625,11351.2998046875,6348.7001953125,7112.66015625,5709.740234375,19008.009765625,15215.3095703125,1466.86303710938,945.900024414062,5355.7998046875
2000-01-21,1441.35998535156,4235.39990234375,11251.7099609375,6346.2998046875,6992.75,5681.31982421875,18878.08984375,15108.41015625,1465.0849609375,925.159973144531,5423.0498046875
2000-01-24,1401.53002929688,4096.080078125,11008.169921875,6379.7998046875,6931.990234375,5690.85986328125,19056.7109375,15167.5498046875,1477.34399414062,926.77001953125,5458.06005859375
2000-01-25,1410.03002929688,4167.41015625,11029.8896484375,6274.10009765625,6809.64013671875,5597.5,18895.529296875,15103.0400390625,1476.50598144531,891.219970703125,5367.7900390625
2000-01-26,1404.08996582031,4069.90991210938,11032.990234375,6375.60009765625,6969.3701171875,5646.31982421875,19111.189453125,15427.7197265625,1481.11694335938,885.539978027344,5367.7900390625
2000-01-27,1398.56005859375,4039.56005859375,11028.01953125,6441,7126.1298828125,5688.35009765625,19209.720703125,15917.8095703125,1506.76696777344,909.22998046875,5369.10009765625
2000-01-28,1360.16003417969,3887.07006835938,10738.8701171875,6375.60009765625,7066.60009765625,5731.0498046875,19434.779296875,16185.9404296875,1534.99694824219,941.669982910156,5335.7998046875
2000-01-31,1394.4599609375,3940.35009765625,10940.5302734375,6268.5,6835.60009765625,5659.81005859375,19539.69921875,15532.33984375,NA,943.880004882812,5205.2900390625
2000-02-01,1409.28002929688,4051.97998046875,11041.0498046875,6290.89990234375,7050.4599609375,5773.419921875,19423.380859375,15653.8603515625,NA,928.75,5215.5400390625
2000-02-02,1409.11999511719,4073.9599609375,11003.2001953125,6302.7998046875,7171.9501953125,5946.85986328125,19578.91015625,15789.8203125,NA,943.590026855469,5304.919921875
2000-02-03,1424.96997070312,4210.97998046875,11013.4404296875,6324.2998046875,7354.259765625,6149.669921875,19786.419921875,15968.1201171875,NA,950.219970703125,5340.18994140625
2000-02-04,1424.36999511719,4244.14013671875,10963.7998046875,6185,7444.60986328125,6275.72021484375,19763.130859375,NA,NA,NA,5313.58984375
2000-02-07,1424.23999023438,4321.77001953125,10905.7900390625,6118.60009765625,7296.31982421875,6203.580078125,19945.4296875,NA,NA,973.130004882812,5474
