"Date","Open","High","Low","Close","Volume","Adjusted"
2000-01-04,1028.32995605469,1066.18005371094,1016.59002685547,1059.0400390625,195900,1059.0400390625
2000-01-05,1006.86999511719,1026.52001953125,984.049987792969,986.309997558594,257700,986.309997558594
2000-01-06,1013.95001220703,1014.90002441406,953.5,960.789978027344,203500,960.789978027344
2000-01-07,949.169982910156,970.159973144531,930.840026855469,948.650024414062,215700,948.650024414062
2000-01-10,979.669982910156,994.940002441406,974.820007324219,987.239990234375,240200,987.239990234375
2000-01-11,992.169982910156,1005.86999511719,981.22998046875,981.330017089844,257100,981.330017089844
2000-01-12,957.97998046875,968.679992675781,949.200012207031,955.010009765625,227100,955.010009765625
2000-01-13,955.059997558594,960.72998046875,939.25,951.049987792969,223000,951.049987792969
2000-01-14,958.820007324219,970.590026855469,937.75,948.030029296875,225000,948.030029296875
2000-01-17,962.669982910156,986.090026855469,959.359985351562,983.27001953125,212100,983.27001953125
2000-01-18,992.309997558594,992.849975585938,967.960021972656,981.530029296875,212100,981.530029296875
2000-01-19,969.309997558594,969.309997558594,938.739990234375,938.780029296875,235700,938.780029296875
2000-01-20,927.119995117188,945.900024414062,906.260009765625,945.900024414062,226700,945.900024414062
2000-01-21,928.549987792969,940.700012207031,911.830017089844,925.159973144531,255100,925.159973144531
2000-01-24,917.929992675781,944.309997558594,915.700012207031,926.77001953125,210400,926.77001953125
2000-01-25,909.119995117188,913.190002441406,891.219970703125,891.219970703125,242600,891.219970703125
2000-01-26,896.340026855469,902.429992675781,875.820007324219,885.539978027344,231100,885.539978027344
2000-01-27,888.27001953125,912.489990234375,879,909.22998046875,344900,909.22998046875
2000-01-28,922.739990234375,943.950012207031,916.859985351562,941.669982910156,293100,941.669982910156
2000-01-31,924.830017089844,948.840026855469,922.919982910156,943.880004882812,289400,943.880004882812
2000-02-01,955.440002441406,959.309997558594,923.52001953125,928.75,306100,928.75
2000-02-02,929.690002441406,950.130004882812,923.400024414062,943.590026855469,310400,943.590026855469
2000-02-03,950.260009765625,959,934.109985351562,950.219970703125,277100,950.219970703125
2000-02-04,NA,NA,NA,NA,NA,NA
2000-02-07,953.22998046875,982.030029296875,951.309997558594,973.130004882812,271800,973.130004882812
2000-02-08,977.070007324219,981.419982910156,960.469970703125,961.219970703125,229500,961.219970703125
2000-02-09,967.530029296875,979.919982910156,966.150024414062,976.049987792969,240400,976.049987792969
2000-02-10,966.359985351562,991.710021972656,957.72998046875,966.179992675781,251600,966.179992675781
2000-02-11,990.109985351562,990.75,941.239990234375,953.219970703125,274800,953.219970703125
2000-02-14,932.940002441406,941.22998046875,907.909973144531,910.869995117188,234200,910.869995117188
2000-02-15,916.890014648438,919.429992675781,875.049987792969,879.700012207031,218600,879.700012207031
2000-02-16,881.030029296875,886.630004882812,843.580017089844,879.5,214000,879.5
2000-02-17,869.349975585938,901.830017089844,869.349975585938,897.52001953125,212400,897.52001953125
2000-02-18,900.710021972656,918.039978027344,879.140014648438,897.52001953125,258300,897.52001953125
2000-02-21,864.609985351562,866.320007324219,843.650024414062,845.320007324219,213800,845.320007324219
