"Date","SP500"
2000-01-31,1394.4599609375
2000-02-29,1366.42004394531
2000-03-31,1498.57995605469
2000-04-30,1452.43005371094
2000-05-31,1420.59997558594
2000-06-30,1454.59997558594
2000-07-31,1430.82995605469
2000-08-31,1517.68005371094
2000-09-30,1436.51000976562
2000-10-31,1429.40002441406
2000-11-30,1314.94995117188
2000-12-31,1320.28002929688
2001-01-31,1366.01000976562
2001-02-28,1239.93994140625
2001-03-31,1160.32995605469
2001-04-30,1249.4599609375
2001-05-31,1255.81994628906
2001-06-30,1224.38000488281
2001-07-31,1211.22998046875
2001-08-31,1133.57995605469
2001-09-30,1040.93994140625
2001-10-31,1059.78002929688
2001-11-30,1139.44995117188
2001-12-31,1148.07995605469
2002-01-31,1130.19995117188
2002-02-28,1106.72998046875
2002-03-31,1147.39001464844
2002-04-30,1076.92004394531
2002-05-31,1067.14001464844
2002-06-30,989.820007324219
2002-07-31,911.619995117188
2002-08-31,916.070007324219
2002-09-30,815.280029296875
2002-10-31,885.760009765625
2002-11-30,936.309997558594
2002-12-31,879.820007324219
2003-01-31,855.700012207031
2003-02-28,841.150024414062
2003-03-31,848.179992675781
2003-04-30,916.919982910156
2003-05-31,963.590026855469
2003-06-30,974.5
2003-07-31,990.309997558594
2003-08-31,1008.01000976562
2003-09-30,995.969970703125
2003-10-31,1050.7099609375
2003-11-30,1058.19995117188
2003-12-31,1111.92004394531
2004-01-31,1131.13000488281
2004-02-29,1144.93994140625
2004-03-31,1126.2099609375
2004-04-30,1107.30004882812
2004-05-31,1120.68005371094
2004-06-30,1140.83996582031
2004-07-31,1101.71997070312
2004-08-31,1104.23999023438
2004-09-30,1114.57995605469
2004-10-31,1130.19995117188
2004-11-30,1173.81994628906
2004-12-31,1211.92004394531
2005-01-31,1181.27001953125
2005-02-28,1203.59997558594
2005-03-31,1180.58996582031
2005-04-30,1156.84997558594
2005-05-31,1191.5
2005-06-30,1191.32995605469
2005-07-31,1234.18005371094
2005-08-31,1220.32995605469
2005-09-30,1228.81005859375
2005-10-31,1207.01000976562
2005-11-30,1249.47998046875
2005-12-31,1248.2900390625
2006-01-31,1280.07995605469
2006-02-28,1280.66003417969
2006-03-31,1294.86999511719
2006-04-30,1310.60998535156
2006-05-31,1270.08996582031
2006-06-30,1270.19995117188
2006-07-31,1276.66003417969
2006-08-31,1303.81994628906
2006-09-30,1335.84997558594
2006-10-31,1377.93994140625
2006-11-30,1400.63000488281
2006-12-31,1418.30004882812
2007-01-31,1438.23999023438
2007-02-28,1406.81994628906
2007-03-31,1420.85998535156
2007-04-30,1482.36999511719
2007-05-31,1530.61999511719
2007-06-30,1503.34997558594
2007-07-31,1455.27001953125
2007-08-31,1473.98999023438
2007-09-30,1526.75
2007-10-31,1549.38000488281
2007-11-30,1481.14001464844
2007-12-31,1468.35998535156
2008-01-31,1378.55004882812
2008-02-29,1330.63000488281
2008-03-31,1322.69995117188
2008-04-30,1385.58996582031
2008-05-31,1400.38000488281
2008-06-30,1280
2008-07-31,1267.38000488281
2008-08-31,1282.82995605469
2008-09-30,1166.35998535156
2008-10-31,968.75
2008-11-30,896.239990234375
2008-12-31,903.25
2009-01-31,825.880004882812
2009-02-28,735.090026855469
2009-03-31,797.869995117188
2009-04-30,872.809997558594
2009-05-31,919.140014648438
2009-06-30,919.320007324219
2009-07-31,987.47998046875
2009-08-31,1020.61999511719
2009-09-30,1057.07995605469
2009-10-31,1036.18994140625
2009-11-30,1095.63000488281
2009-12-31,1115.09997558594
2010-01-31,1073.86999511719
2010-02-28,1104.48999023438
2010-03-31,1169.43005371094
2010-04-30,1186.68994140625
2010-05-31,1089.41003417969
2010-06-30,1030.7099609375
2010-07-31,1101.59997558594
2010-08-31,1049.32995605469
2010-09-30,1141.19995117188
2010-10-31,1183.26000976562
2010-11-30,1180.55004882812
2010-12-31,1257.64001464844
2011-01-31,1286.11999511719
2011-02-28,1327.21997070312
2011-03-31,1325.82995605469
2011-04-30,1363.60998535156
2011-05-31,1345.19995117188
2011-06-30,1320.64001464844
2011-07-31,1292.28002929688
2011-08-31,1218.89001464844
2011-09-30,1131.42004394531
2011-10-31,1253.30004882812
2011-11-30,1246.9599609375
2011-12-31,1257.59997558594
2012-01-31,1312.41003417969
2012-02-29,1365.68005371094
2012-03-31,1408.46997070312
2012-04-30,1397.91003417969
2012-05-31,1310.32995605469
2012-06-30,1362.16003417969
2012-07-31,1379.31994628906
2012-08-31,1406.57995605469
2012-09-30,1440.67004394531
2012-10-31,1412.16003417969
2012-11-30,1416.18005371094
2012-12-31,1426.18994140625
2013-01-31,1498.10998535156
2013-02-28,1514.68005371094
2013-03-31,1569.18994140625
2013-04-30,1597.56994628906
2013-05-31,1630.73999023438
2013-06-30,1606.28002929688
2013-07-31,1685.72998046875
2013-08-31,1632.96997070312
2013-09-30,1681.55004882812
2013-10-31,1756.5400390625
2013-11-30,1805.81005859375
2013-12-31,1848.35998535156
2014-01-31,1782.58996582031
2014-02-28,1859.44995117188
2014-03-31,1872.33996582031
2014-04-30,1883.94995117188
2014-05-31,1923.56994628906
2014-06-30,1960.22998046875
2014-07-31,1930.67004394531
2014-08-31,2003.36999511719
2014-09-30,1972.2900390625
2014-10-31,2018.05004882812
2014-11-30,2067.56005859375
2014-12-31,2058.89990234375
2015-01-31,1994.98999023438
2015-02-28,2104.5
2015-03-31,2067.88989257812
2015-04-30,2085.51000976562
2015-05-31,2107.38989257812
2015-06-30,2063.11010742188
2015-07-31,2103.84008789062
2015-08-31,1972.18005371094
2015-09-30,1920.03002929688
2015-10-31,2079.36010742188
2015-11-30,2080.40991210938
2015-12-31,2043.93994140625
2016-01-31,1940.23999023438
2016-02-29,1932.22998046875
2016-03-31,2059.73999023438
2016-04-30,2065.30004882812
2016-05-31,2096.94995117188
2016-06-30,2098.86010742188
2016-07-31,2173.60009765625
2016-08-31,2170.94995117188
2016-09-30,2168.27001953125
2016-10-31,2126.14990234375
2016-11-30,2198.81005859375
2016-12-31,2238.830078125
2017-01-31,2278.8701171875
2017-02-28,2363.63989257812
2017-03-31,2362.71997070312
2017-04-30,2384.19995117188
2017-05-31,2411.80004882812
2017-06-30,2423.40991210938
2017-07-31,2470.30004882812
2017-08-31,2471.64990234375
2017-09-30,2519.36010742188
2017-10-31,2575.26000976562
2017-11-30,2647.580078125
2017-12-31,2673.61010742188
2018-01-31,2823.81005859375
2018-02-28,2713.830078125
2018-03-31,2640.8701171875
2018-04-30,2648.05004882812
2018-05-31,2705.27001953125
2018-06-30,2718.3701171875
2018-07-31,2816.2900390625
2018-08-31,2901.52001953125
2018-09-30,2913.97998046875
2018-10-31,2711.73999023438
2018-11-30,2760.169921875
2018-12-31,2506.85009765625
2019-01-31,2704.10009765625
2019-02-28,2784.48999023438
2019-03-31,2834.39990234375
2019-04-30,2945.830078125
2019-05-31,2752.06005859375
2019-06-30,2941.76000976562
2019-07-31,2980.3798828125
2019-08-31,2926.4599609375
2019-09-30,2976.73999023438
2019-10-31,3037.56005859375
2019-11-30,3140.97998046875
2019-12-31,3230.78002929688
2020-01-31,3225.52001953125
2020-02-29,2954.21997070312
2020-03-31,2584.59008789062
2020-04-30,2912.42993164062
2020-05-31,3044.31005859375
2020-06-30,3100.2900390625
2020-07-31,3271.1201171875
2020-08-31,3500.31005859375
2020-09-30,3363
2020-10-31,3269.9599609375
2020-11-30,3621.6298828125
2020-12-31,3756.07006835938
2021-01-31,3714.23999023438
2021-02-28,3811.14990234375
2021-03-31,3972.88989257812
2021-04-30,4181.169921875
2021-05-31,4204.10986328125
2021-06-30,4297.5
2021-07-31,4395.259765625
2021-08-31,4522.68017578125
2021-09-30,4307.5400390625
2021-10-31,4605.3798828125
2021-11-30,4567
2021-12-31,4766.18017578125
2022-01-31,4515.5498046875
2022-02-28,4373.93994140625
2022-03-31,4530.41015625
2022-04-30,4131.93017578125
2022-05-31,4132.14990234375
2022-06-30,3785.3798828125
2022-07-31,4130.2900390625
2022-08-31,3955
2022-09-30,3585.6201171875
2022-10-31,3871.97998046875
2022-11-30,4080.11010742188
2022-12-31,3839.5
2023-01-31,4076.60009765625
2023-02-28,3970.14990234375
2023-03-31,4109.31005859375
2023-04-30,4169.47998046875
2023-05-31,4179.830078125
2023-06-30,4450.3798828125
2023-07-31,4588.9599609375
2023-08-31,4507.66015625
2023-09-30,4288.0498046875
2023-10-31,4193.7998046875
2023-11-30,4567.7998046875
2023-12-31,4769.830078125
2024-01-31,4845.64990234375
2024-02-29,5096.27001953125
2024-03-31,5254.35009765625
2024-04-30,5035.68994140625
2024-05-31,5277.509765625
2024-06-30,5460.47998046875
2024-07-31,5522.2998046875
2024-08-31,5648.39990234375
2024-09-30,5762.47998046875
2024-10-31,5705.4501953125
2024-11-30,6032.3798828125
2024-12-31,5881.6298828125
2025-01-31,6040.52978515625
2025-02-28,5954.5
2025-03-31,5611.85009765625
2025-04-30,5569.06005859375
2025-05-31,5911.68994140625
2025-06-30,6204.9501953125
